"","id","city","region","first_choice","second_choice","would_not_use","gender","race","target","emotion","image_race","image_gender"
"246",14561763,"CA","Laguna Niguel","Happiness","Neutral","Anger","male","black","BM-016","Happiness","Black","Male"
"247",15448937,"PA","Lebanon","Neutral","Happiness","Anger","male","white","BM-016","Anger","Black","Male"
"248",35937302,"PA","Homestead","Anger","Disgust","Happiness","female","white","BM-016","Anger","Black","Male"
"249",11767390,"WA","Spanaway","Disgust","Sadness","Neutral","male","black","BM-016","Anger","Black","Male"
"250",19093533,"KY","Newport","Surprise","Happiness","Fear","male","black","BM-016","Fear","Black","Male"
"251",45185406,NA,NA,"Happiness","Happiness","Anger","male","black","BM-016","Fear","Black","Male"
"252",45183795,"NY","New York","Surprise","Surprise","Happiness","male","black","BM-016","Fear","Black","Male"
"253",13095205,"WI","Racine","Anger","Disgust","Happiness","female","white","BM-002","Anger","Black","Male"
"254",25955589,"MI","Portage","Anger","Disgust","Happiness","female","asian","BM-002","Anger","Black","Male"
"255",45159038,"TN","Rockwood","Disgust","Anger","Happiness","female","white","BM-002","Anger","Black","Male"
"256",34534543,"NY","Staten Island","Happiness","Happiness","Disgust","female","asian","BM-002","Happiness","Black","Male"
"257",30671201,"CA","El Centro","Happiness","Neutral","Anger","female","latino","BM-002","Happiness","Black","Male"
"258",44876770,"TX","Fort Worth","Happiness","Neutral","Sadness","male","white","BM-002","Happiness","Black","Male"
"259",9383512,"TX","Mcallen","Surprise","Fear","Neutral","male","latino","BM-002","Fear","Black","Male"
"260",14054543,"PA","Clearfield","Surprise","Happiness","Sadness","female","white","BM-002","Fear","Black","Male"
"261",22538614,"AL","Gardendale","Surprise","Fear","Anger","female","white","BM-002","Fear","Black","Male"
"262",35408915,"IN","Muncie","Happiness","Surprise","Sadness","male","white","BM-002","Happiness","Black","Male"
"263",37881503,"DC","Washington","Happiness","Neutral","Anger","female","white","BM-002","Happiness","Black","Male"
"264",21770855,"NJ","Hackensack","Happiness","Surprise","Anger","female","white","BM-002","Happiness","Black","Male"
"265",43899770,"NY","Brooklyn","Happiness","Surprise","Sadness","female","white","BM-041","Happiness","Black","Male"
"266",32004236,"MI","Zeeland","Happiness","Neutral","Anger","female","asian","BM-041","Happiness","Black","Male"
"267",45271636,NA,NA,"Happiness","Happiness","Happiness","male","black","BM-041","Happiness","Black","Male"
"268",44204650,"NH","Amherst","Anger","Disgust","Happiness","male","other","BM-041","Anger","Black","Male"
